Daily dosage:
  drug A: 2.1
  drug B: 2.4

time,platelet
0.0,1.0
0.5,1.1668775257575585
1.0,1.391586741225059
1.5,1.6181871651615085
2.0,1.816522183346511
2.5,1.9748048442909938
3.0,2.09240989876514
3.5,2.1741056749551566
4.0,2.226617790005355
4.5,2.2562090416324483
5.0,2.2686008262373543
5.5,2.2679444374503004
6.0,2.2578726224648022
6.5,2.2406810130962227
7.0,2.2184662643109125
7.5,2.1925337987991775
8.0,2.163891214959635
8.5,2.133479886851311
9.0,2.1017180242156366
9.5,2.0690787997114057
10.0,2.035962209724738
