Daily dosage:
  drug A: 2.1
  drug B: 2.4

time,platelet
0.0,1.0
0.5,1.144258737564087
1.0,1.3745152950286865
1.5,1.6319541931152344
2.0,1.8702948093414307
2.5,2.062424421310425
3.0,2.198657512664795
3.5,2.2819268703460693
4.0,2.3225650787353516
4.5,2.333035707473755
5.0,2.32319712638855
5.5,2.29815673828125
6.0,2.2594759464263916
6.5,2.207843065261841
7.0,2.144761562347412
7.5,2.072537422180176
8.0,1.9935784339904785
8.5,1.909830093383789
9.0,1.8226341009140015
9.5,1.7328288555145264
10.0,1.640932559967041
