Daily dosage:
  drug A: 2.1
  drug B: 2.4

time,platelet
0.0,1.4453183289409792
0.5,1.513542053877009
1.0,1.577475636461111
1.5,1.6371190766932853
2.0,1.692472374573532
2.5,1.7435355301018518
3.0,1.7903085432782437
3.5,1.8327914141027084
4.0,1.8709841425752458
4.5,1.9048867286958557
5.0,1.934499172464538
5.5,1.9598214738812931
6.0,1.98085363294612
6.5,1.9975956496590204
7.0,2.010047524019993
7.5,2.018209256029038
8.0,2.0220808456861556
8.5,2.021662292991346
9.0,2.0169535979446085
9.5,2.0079547605459434
10.0,1.994665780795351
